case,name,nu,weight_mode,final_rel_l2,final_spec_dist,first_cross_rel_l2,first_cross_spec_dist,early_warning_lead
ood1_highfreq,OOD-1 higher-frequency sinusoid,0.0031830988618379067,uniform,1.3198747132637156,108.02904772399113,nan,nan,nan
ood2_gaussian,OOD-2 localised Gaussian bump,0.0031830988618379067,uniform,1.0371122735133715,182.5488967530602,nan,0.01,nan
ood3_shifted_nu,OOD-3 shifted-viscosity sin(pi x),0.006366197723675813,uniform,1.5889572767075186,278.1297726017757,0.3215656565656566,0.28136363636363637,0.04020202020202024
