t,x,u
0.00000000,0.95106809,0.81403633
0.00000000,0.95720401,0.81758481
0.00000000,0.96333993,0.82110251
0.00000000,0.96947586,0.82458930
0.00000000,0.97561178,0.82804505
0.00000000,0.98174770,0.83146961
0.00000000,0.98788363,0.83486287
0.00000000,0.99401955,0.83822471
0.00000000,1.00015547,0.84155498
0.00000000,1.00629140,0.84485357
0.00000000,1.01242732,0.84812034
0.00000000,1.01856324,0.85135519
0.00000000,1.02469917,0.85455799
0.00000000,1.03083509,0.85772861
0.00000000,1.03697101,0.86086694
0.00000000,1.04310694,0.86397286
0.00000000,1.04924286,0.86704625
0.00000000,1.05537878,0.87008699
0.00000000,1.06151471,0.87309498
0.00000000,1.06765063,0.87607009
0.00000000,1.07378655,0.87901223
0.00000000,1.07992247,0.88192126
0.00000000,1.08605840,0.88479710
0.00000000,1.09219432,0.88763962
0.00000000,1.09833024,0.89044872
0.00000000,1.10446617,0.89322430
0.00000000,1.11060209,0.89596625
0.00000000,1.11673801,0.89867447
0.00000000,1.12287394,0.90134885
0.00000000,1.12900986,0.90398929
0.00000000,1.13514578,0.90659570
0.00000000,1.14128171,0.90916798
0.00000000,1.14741763,0.91170603
0.00000000,1.15355355,0.91420976
0.00000000,1.15968948,0.91667906
0.00000000,1.16582540,0.91911385
0.00000000,1.17196132,0.92151404
0.00000000,1.17809725,0.92387953
0.00000000,1.18423317,0.92621024
0.00000000,1.19036909,0.92850608
0.00000000,1.19650501,0.93076696
0.00000000,1.20264094,0.93299280
0.00000000,1.20877686,0.93518351
0.00000000,1.21491278,0.93733901
0.00000000,1.22104871,0.93945922
0.00000000,1.22718463,0.94154407
0.00000000,1.23332055,0.94359346
0.00000000,1.23945648,0.94560733
0.00000000,1.24559240,0.94758559
0.00000000,1.25172832,0.94952818
0.00000000,1.25786425,0.95143502
0.00000000,1.26400017,0.95330604
0.00000000,1.27013609,0.95514117
0.00000000,1.27627202,0.95694034
0.00000000,1.28240794,0.95870347
0.00000000,1.28854386,0.96043052
0.00000000,1.29467978,0.96212140
0.00000000,1.30081571,0.96377607
0.00000000,1.30695163,0.96539444
0.00000000,1.31308755,0.96697647
0.00000000,1.31922348,0.96852209
0.00000000,1.32535940,0.97003125
0.00000000,1.33149532,0.97150389
0.00000000,1.33763125,0.97293995
0.00000000,1.34376717,0.97433938
0.00000000,1.34990309,0.97570213
0.00000000,1.35603902,0.97702814
0.00000000,1.36217494,0.97831737
0.00000000,1.36831086,0.97956977
0.00000000,1.37444679,0.98078528
0.00000000,1.38058271,0.98196387
0.00000000,1.38671863,0.98310549
0.00000000,1.39285456,0.98421009
0.00000000,1.39899048,0.98527764
0.00000000,1.40512640,0.98630810
0.00000000,1.41126232,0.98730142
0.00000000,1.41739825,0.98825757
0.00000000,1.42353417,0.98917651
0.00000000,1.42967009,0.99005821
0.00000000,1.43580602,0.99090264
0.00000000,1.44194194,0.99170975
0.00000000,1.44807786,0.99247953
0.00000000,1.45421379,0.99321195
0.00000000,1.46034971,0.99390697
0.00000000,1.46648563,0.99456457
0.00000000,1.47262156,0.99518473
0.00000000,1.47875748,0.99576741
0.00000000,1.48489340,0.99631261
0.00000000,1.49102933,0.99682030
0.00000000,1.49716525,0.99729046
0.00000000,1.50330117,0.99772307
0.00000000,1.50943710,0.99811811
0.00000000,1.51557302,0.99847558
0.00000000,1.52170894,0.99879546
0.00000000,1.52784486,0.99907773
0.00000000,1.53398079,0.99932238
0.00000000,1.54011671,0.99952942
0.00000000,1.54625263,0.99969882
0.00000000,1.55238856,0.99983058
0.00000000,1.55852448,0.99992470
0.00000000,1.56466040,0.99998118
0.00000000,1.57079633,1.00000000
0.00000000,1.57693225,0.99998118
0.00000000,1.58306817,0.99992470
0.00000000,1.58920410,0.99983058
0.00000000,1.59534002,0.99969882
0.00000000,1.60147594,0.99952942
0.00000000,1.60761187,0.99932238
0.00000000,1.61374779,0.99907773
0.00000000,1.61988371,0.99879546
0.00000000,1.62601964,0.99847558
0.00000000,1.63215556,0.99811811
0.00000000,1.63829148,0.99772307
0.00000000,1.64442740,0.99729046
0.00000000,1.65056333,0.99682030
0.00000000,1.65669925,0.99631261
0.00000000,1.66283517,0.99576741
0.00000000,1.66897110,0.99518473
0.00000000,1.67510702,0.99456457
0.00000000,1.68124294,0.99390697
0.00000000,1.68737887,0.99321195
0.00000000,1.69351479,0.99247953
0.00000000,1.69965071,0.99170975
0.00000000,1.70578664,0.99090264
0.00000000,1.71192256,0.99005821
0.00000000,1.71805848,0.98917651
0.00000000,1.72419441,0.98825757
0.00000000,1.73033033,0.98730142
0.00000000,1.73646625,0.98630810
0.00000000,1.74260218,0.98527764
0.00000000,1.74873810,0.98421009
0.00000000,1.75487402,0.98310549
0.00000000,1.76100994,0.98196387
0.00000000,1.76714587,0.98078528
0.00000000,1.77328179,0.97956977
0.00000000,1.77941771,0.97831737
0.00000000,1.78555364,0.97702814
0.00000000,1.79168956,0.97570213
0.00000000,1.79782548,0.97433938
0.00000000,1.80396141,0.97293995
0.00000000,1.81009733,0.97150389
0.00000000,1.81623325,0.97003125
0.00000000,1.82236918,0.96852209
0.00000000,1.82850510,0.96697647
